_row_index,cve_id,commit_hash,repo_name,repo_url,commit_urls,source_file,language,_language,_language_source,selection_source,cwe_ids,cwe_tokens,multiple_language
5512,CVE-2018-18073,34cc326eb2c5695833361887fe0b32e8d987741c,git.ghostscript.com/ghostpdl.git,http://git.ghostscript.com/ghostpdl.git,http://git.ghostscript.com/?p=ghostpdl.git%3Ba=commit%3Bh=34cc326eb2c5695833361887fe0b32e8d987741c;http://git.ghostscript.com/?p=ghostpdl.git;a=commit;h=34cc326eb2c5695833361887fe0b32e8d987741c,cvelistV5/cves/2018/18xxx/CVE-2018-18073.json,JSON,JSON,csv,references_fallback,CWE-200,CWE-200,false
5526,CVE-2018-18557,681748ec2f5ce88da5f9fa6831e1653e46af8a66,gitlab.com/libtiff/libtiff,https://gitlab.com/libtiff/libtiff,https://gitlab.com/libtiff/libtiff/commit/681748ec2f5ce88da5f9fa6831e1653e46af8a66,cvelistV5/cves/2018/18xxx/CVE-2018-18557.json,JSON,JSON,csv,references_fallback,CWE-787,CWE-787,false
5531,CVE-2018-18662,164ddc22ee0d5b63a81d5148f44c37dd132a9356,cgit.ghostscript.com/cgi-bin/cgit.cgi/mupdf.git,https://cgit.ghostscript.com/cgi-bin/cgit.cgi/mupdf.git,https://cgit.ghostscript.com/cgi-bin/cgit.cgi/mupdf.git/commit/?id=164ddc22ee0d5b63a81d5148f44c37dd132a9356,cvelistV5/cves/2018/18xxx/CVE-2018-18662.json,JSON,JSON,csv,references_fallback,CWE-125,CWE-125,false
5556,CVE-2018-19134,693baf02152119af6e6afd30bb8ec76d14f84bbf,git.ghostscript.com/ghostpdl.git,http://git.ghostscript.com/ghostpdl.git,http://git.ghostscript.com/?p=ghostpdl.git%3Ba=commitdiff%3Bh=693baf02152119af6e6afd30bb8ec76d14f84bbf;http://git.ghostscript.com/?p=ghostpdl.git;a=commitdiff;h=693baf02152119af6e6afd30bb8ec76d14f84bbf,cvelistV5/cves/2018/19xxx/CVE-2018-19134.json,JSON,JSON,csv,references_fallback,CWE-704,CWE-704,false
5561,CVE-2018-19214,661f723d39e03ca6eb05d7376a43ca33db478354,repo.or.cz/nasm,https://repo.or.cz/nasm,https://repo.or.cz/nasm.git/commit/661f723d39e03ca6eb05d7376a43ca33db478354,cvelistV5/cves/2018/19xxx/CVE-2018-19214.json,JSON,JSON,csv,references_fallback,CWE-125,CWE-125,false
5562,CVE-2018-19215,4b5b737d4991578b1918303dc0fd9c9ab5c7ce4f,repo.or.cz/nasm,https://repo.or.cz/nasm,https://repo.or.cz/nasm.git/commit/4b5b737d4991578b1918303dc0fd9c9ab5c7ce4f,cvelistV5/cves/2018/19xxx/CVE-2018-19215.json,JSON,JSON,csv,references_fallback,CWE-125,CWE-125,false
5565,CVE-2018-19352,288b73e1edbf527740e273fcc69b889460871648,github.com/jupyter/notebook,https://github.com/jupyter/notebook,https://github.com/jupyter/notebook/commit/288b73e1edbf527740e273fcc69b889460871648,cvelistV5/cves/2018/19xxx/CVE-2018-19352.json,reStructuredText,reStructuredText,csv,references_fallback,CWE-79,CWE-79,true
5569,CVE-2018-19409,661e8d8fb8248c38d67958beda32f3a5876d0c3f,git.ghostscript.com/ghostpdl.git,https://git.ghostscript.com/ghostpdl.git,https://git.ghostscript.com/?p=ghostpdl.git%3Ba=commit%3Bh=661e8d8fb8248c38d67958beda32f3a5876d0c3f;https://git.ghostscript.com/?p=ghostpdl.git;a=commit;h=661e8d8fb8248c38d67958beda32f3a5876d0c3f,cvelistV5/cves/2018/19xxx/CVE-2018-19409.json,JSON,JSON,csv,references_fallback,,,false
5570,CVE-2018-19475,3005fcb9bb160af199e761e03bc70a9f249a987e,git.ghostscript.com/ghostpdl.git,http://git.ghostscript.com/ghostpdl.git,http://git.ghostscript.com/?p=ghostpdl.git%3Ba=commit%3Bh=3005fcb9bb160af199e761e03bc70a9f249a987e;http://git.ghostscript.com/?p=ghostpdl.git;a=commit;h=3005fcb9bb160af199e761e03bc70a9f249a987e,cvelistV5/cves/2018/19xxx/CVE-2018-19475.json,JSON,JSON,csv,references_fallback,,,false
5571,CVE-2018-19475,aeea342904978c9fe17d85f4906a0f6fcce2d315,git.ghostscript.com/ghostpdl.git,http://git.ghostscript.com/ghostpdl.git,http://git.ghostscript.com/?p=ghostpdl.git%3Ba=commit%3Bh=aeea342904978c9fe17d85f4906a0f6fcce2d315;http://git.ghostscript.com/?p=ghostpdl.git;a=commit;h=aeea342904978c9fe17d85f4906a0f6fcce2d315,cvelistV5/cves/2018/19xxx/CVE-2018-19475.json,JSON,JSON,csv,references_fallback,,,false
5572,CVE-2018-19476,67d760ab775dae4efe803b5944b0439aa3c0b04a,git.ghostscript.com/ghostpdl.git,http://git.ghostscript.com/ghostpdl.git,http://git.ghostscript.com/?p=ghostpdl.git%3Ba=commit%3Bh=67d760ab775dae4efe803b5944b0439aa3c0b04a;http://git.ghostscript.com/?p=ghostpdl.git;a=commit;h=67d760ab775dae4efe803b5944b0439aa3c0b04a,cvelistV5/cves/2018/19xxx/CVE-2018-19476.json,JSON,JSON,csv,references_fallback,CWE-704,CWE-704,false
5573,CVE-2018-19477,ef252e7dc214bcbd9a2539216aab9202848602bb,git.ghostscript.com/ghostpdl.git,http://git.ghostscript.com/ghostpdl.git,http://git.ghostscript.com/?p=ghostpdl.git%3Ba=commit%3Bh=ef252e7dc214bcbd9a2539216aab9202848602bb;http://git.ghostscript.com/?p=ghostpdl.git;a=commit;h=ef252e7dc214bcbd9a2539216aab9202848602bb,cvelistV5/cves/2018/19xxx/CVE-2018-19477.json,JSON,JSON,csv,references_fallback,CWE-704,CWE-704,false
5574,CVE-2018-19478,0a7e5a1c309fa0911b892fa40996a7d55d90bace,git.ghostscript.com/ghostpdl.git,http://git.ghostscript.com/ghostpdl.git,http://git.ghostscript.com/?p=ghostpdl.git%3Ba=commitdiff%3Bh=0a7e5a1c309fa0911b892fa40996a7d55d90bace;http://git.ghostscript.com/?p=ghostpdl.git;a=commitdiff;h=0a7e5a1c309fa0911b892fa40996a7d55d90bace,cvelistV5/cves/2018/19xxx/CVE-2018-19478.json,JSON,JSON,csv,references_fallback,CWE-20,CWE-20,false
